S.No.,Company,Ticker,,
1,AGNC Investment Corp.,AGNC,,
2,"CareTrust REIT, Inc.",CTRE,,
3,CIM Commercial Trust Corporation,CMCT,,
4,"Communications Sales & Leasing,Inc.",CSAL,,
5,"Condor Hospitality Trust, Inc.",CDOR,,
6,CyrusOne Inc,CONE,,
7,"Equinix, Inc.",EQIX,,
8,"Gaming and Leisure Properties, Inc.",GLPI,,
9,Gladstone Land Corporation,LAND,,
10,"Global Self Storage, Inc.",SELF,,
11,Hospitality Properties Trust,HPT,,
12,Hospitality Properties Trust,HPTRP,,
13,Lamar Advertising Company,LAMR,,
14,"Manhattan Bridge Capital, Inc",LOAN,,
15,MTGE Investment Corp.,MTGE,,
16,MTGE Investment Corp.,MTGEP,,
17,"New York Mortgage Trust, Inc.",NYMT,,
18,Potlatch Corporation,PCH,,
19,Retail Opportunity Investments Corp.,ROIC,,
20,"Reven Housing REIT, Inc.",RVEN,,
21,"Sabra Healthcare REIT, Inc.",SBRA,,
22,Select Income REIT,SIR,,
23,Senior Housing Properties Trust,SNH,,
24,Sotherly Hotels Inc.,SOHO,,
25,"Vestin Realty Mortgage II, Inc.",VRTB,,
26,"Wheeler Real Estate Investment Trust, Inc.",WHLR,,
