S.No.,Company,Ticker,,
1,Acadia Realty Trust,AKR,,
2,Agree Realty Corporation,ADC,,
3,"Alexandes, Inc.",ALX,,
4,"Alexandria Real Estate Equities, Inc.",ARE,,
5,"American Assets Trust, Inc.",AAT,,
6,American Campus Communities Inc,ACC,,
7,American Homes 4 Rent,AMH,,
8,American Tower Corporation (REIT),AMT,,
9,Annaly Capital Management Inc,NLY,,
10,Anworth Mortgage Asset  Corporation,ANH,,
11,Apartment Investment and Management Company,AIV,,
12,Apollo Commercial Real Estate Finance,ARI,,
13,"Apple Hospitality REIT, Inc.",APLE,,
14,Arbor Realty Trust,ABR,,
15,Arbor Realty Trust,ABRN,,
16,Ares Commercial Real Estate Corporation,ACRE,,
17,"ARMOUR Residential REIT, Inc.",ARR,,
18,"Ashford Hospitality Prime, Inc.",AHP,,
19,Ashford Hospitality Trust Inc,AHT,,
20,"AvalonBay Communities, Inc.",AVB,,
21,"Boston Properties, Inc.",BXP,,
22,Brandywine Realty Trust,BDN,,
23,Brixmor Property Group Inc.,BRX,,
24,Brookfield Canada Office Properties,BOXC,,
25,BRT Realty Trust,BRT,,
26,Camden Property Trust,CPT,,
27,"Capital Trust, Inc.",BXMT,,
28,Capstead Mortgage Corporation,CMO,,
29,"Care Capital Properties, Inc.",CCP,,
30,"CatchMark Timber Trust, Inc.",CTT           ,,
31,"CBL & Associates Properties, Inc.",CBL,,
32,"Cedar Realty Trust, Inc.",CDR,,
33,Chatham Lodging Trust (REIT),CLDT,,
34,Cherry Hill Mortgage Investment Corporation,CHMI,,
35,Chesapeake Lodging Trust,CHSP,,
36,Chimera Investment Corporation,CIM,,
37,"City Office REIT, Inc.",CIO,,
38,"Colony Capital, Inc",CLNY,,
39,Colony Starwood Homes,SFR,,
40,"Columbia Property Trust, Inc.",CXP,,
41,Community Healthcare Trust Incorporated,CHCT,,
42,"CoreCivic, Inc.",CXW,,
43,"CorEnergy Infrastructure Trust, Inc.",CORR,,
44,CoreSite Realty Corporation,COR,,
45,Corporate Office Properties Trust,OFC,,
46,Cousins Properties Incorporated,CUZ,,
47,Crown Castle International Corporation,CCI,,
48,CubeSmart,CUBE,,
49,"CYS Investments, Inc.",CYS,,
50,DCT Industrial Trust Inc,DCT,,
51,DDR Corp.,DDR,,
52,Diamondrock Hospitality Company,DRH,,
53,"Digital Realty Trust, Inc.",DLR,,
54,"Douglas Emmett, Inc.",DEI,,
55,Duke Realty Corporation,DRE,,
56,"Dynex Capital, Inc.",DX,,
57,"Easterly Government Properties, Inc.",DEA,,
58,"EastGroup Properties, Inc.",EGP,,
59,Education Realty Trust Inc.,EDR,,
60,Ellington Residential Mortgage REIT,EARN,,
61,"Empire State Realty Trust, Inc.",ESRT,,
62,EPR Properties,EPR,,
63,Equity Commonwealth,EQC,,
64,Equity Commonwealth,EQCO,,
65,"Equity Lifestyle Properties, Inc.",ELS,,
66,"Equity One, Inc.",EQY,,
67,Equity Residential,EQR,,
68,"Essex Property Trust, Inc.",ESS,,
69,Extra Space Storage Inc,EXR,,
70,Farmland Partners Inc.,FPI,,
71,Federal Realty Investment Trust,FRT,,
72,FelCor Lodging Trust Incorporated,FCH,,
73,"First Industrial Realty Trust, Inc.",FR,,
74,First Potomac Realty Trust,FPO,,
75,Five Oaks Investment Corp.,OAKS,,
76,"Four Corners Property Trust, Inc.",FCPT,,
77,"General Growth Properties, Inc.",GGP,,
78,Geo Group Inc (The),GEO,,
79,Global Medical REIT Inc.,GMRE,,
80,"Global Net Lease, Inc.",GNL,,
81,Gramercy Property Trust,GPT,,
82,Great Ajax Corp.,AJX,,
83,"Hannon Armstrong Sustainable Infrastructure Capital, Inc.",HASI,,
84,"HCP, Inc.",HCP,,
85,Healthcare Realty Trust Incorporated,HR,,
86,"Healthcare Trust of America, Inc.",HTA,,
87,Hersha Hospitality Trust,HT,,
88,"Highwoods Properties, Inc.",HIW,,
89,"Host Hotels & Resorts, Inc.",HST,,
90,Howard Hughes Corporation (The),HHC,,
91,"InfraREIT, Inc.",HIFR,,
92,INVESCO MORTGAGE CAPITAL INC,IVR,,
93,Investors Real Estate Trust,IRET,,
94,Iron Mountain Incorporated,IRM,,
95,iStar Financial Inc.,STAR          ,,
96,"Jernigan Capital, Inc.",JCAP,,
97,Kilroy Realty Corporation,KRC,,
98,Kimco Realty Corporation,KIM,,
99,Kite Realty Group Trust,KRG,,
100,Ladder Capital Corp,LADR,,
101,LaSalle Hotel Properties,LHO,,
102,Lexington Realty Trust,LXP,,
103,Liberty Property Trust,LPT,,
104,"Life Storage, Inc.",LSI,,
105,"LTC Properties, Inc.",LTC,,
106,Macerich Company (The),MAC,,
107,Mack-Cali Realty Corporation,CLI,,
108,"MedEquities Realty Trust, Inc.",MRT,,
109,"Medical Properties Trust, Inc.",MPW,,
110,"MFA Financial, Inc.",MFA,,
111,MGM Growth Properties LLC,MGP,,
112,"Mid-America Apartment Communities, Inc.",MAA,,
113,Monmouth Real Estate Investment Corporation,MNR,,
114,"Monogram Residential Trust, Inc.",MORE          ,,
115,"National Health Investors, Inc.",NHI,,
116,National Retail Properties,NNN,,
117,National Storage Affiliates Trust,NSA,,
118,New Residential Investment Corp.,NRZ,,
119,New Senior Investment Group Inc.,SNR,,
120,"New York REIT, Inc.",NYRT,,
121,Newcastle Investment Corporation,NCT,,
122,"NexPoint Residential Trust, Inc.",NXRT,,
123,NorthStar Realty Europe Corp.,NRE,,
124,Northstar Realty Finance Corp.,NRF,,
125,"Omega Healthcare Investors, Inc.",OHI,,
126,"One Liberty Properties, Inc.",OLP,,
127,"Orchid Island Capital, Inc.",ORC,,
128,OUTFRONT Media Inc.,OUT,,
129,"Paramount Group, Inc.",PGRE,,
130,Pebblebrook Hotel Trust,PEB,,
131,Pennsylvania Real Estate Investment Trust,PEI,,
132,PennyMac Mortgage Investment Trust,PMT,,
133,Physicians Realty Trust,DOC,,
134,"Preferred Apartment Communities, Inc.",APTS,,
135,"ProLogis, Inc.",PLD,,
136,"PS Business Parks, Inc.",PSB,,
137,Public Storage,PSA,,
138,"QTS Realty Trust, Inc.",QTS,,
139,"Quality Care Properties, Inc.",QCP,,
140,RAIT Financial Trust,RAS,,
141,Ramco-Gershenson Properties Trust,RPT,,
142,Rayonier Inc.,RYN,,
143,Realty Income Corporation,O,,
144,"Redwood Trust, Inc.",RWT,,
145,Regency Centers Corporation,REG,,
